Дата,Направление,Тема,Что делала,Артефакты,Сложность,Время,Комментарий
2026-05-24,Алгоритмы,"Warm-up — LC 917: Reverse Only Letters","Разминка. Two pointers с пропуском не-букв, in-place swap в []byte. Zero hints.","day_48/main.go",Easy,~5мин,"Решено самостоятельно, без подсказок. Retention: 🟢 L4."
2026-05-24,Алгоритмы,"Warm-up — LC 5: Longest Palindromic Substring","Разминка. Expand-around-center с замыканием, odd/even centers. Zero hints.","day_48/main.go",Medium,~5мин,"Решено самостоятельно, без подсказок. Retention: 🟢 L4."
2026-05-24,Алгоритмы,"Warm-up — LC 844: Backspace String Compare","Разминка. Reverse traversal с nextValid helper, backspace counter. Zero hints.","day_48/main.go",Easy,~5мин,"Решено самостоятельно, без подсказок. Retention: 🟢 L4."
2026-05-24,Алгоритмы,"LC 228: Summary Ranges","Новая задача. Two pointers для поиска последовательных диапазонов, форматирование x->y. Zero hints.","day_48/main.go",Easy,~10мин,"Решено самостоятельно, без подсказок. Retention: 🟢 L4."
2026-05-24,Алгоритмы,"LC 443: String Compression","Новая задача. Two pointers fast & slow, in-place string compression с writeCount helper для многозначных чисел. TDD.","day_48/main.go",Medium,~2ч,"Решено самостоятельно. Retention: 🟢 L4."
2026-05-25,Алгоритмы,LeetCode 189: Rotate Array (warm-up),"Разминка: решена через triple reverse (in-place). O(n) time, O(1) space. Защита от k > len через %.",day_49/main.go,Medium,0.1ч,"Zero hints, без тестов, 🟢 L4"
2026-05-25,Алгоритмы,LeetCode 11: Container With Most Water (warm-up),"Разминка: решена через two pointers с краёв, двигаем меньшую высоту. O(n) time, O(1) space.",day_49/main.go,Medium,0.1ч,"Zero hints, без тестов, 🟢 L4"
2026-05-25,Алгоритмы,LeetCode 881: Boats to Save People (warm-up),"Разминка: решена через sort + greedy two pointers. O(n log n) time, O(1) space. Тяжёлого берём всегда, пытаемся добавить самого лёгкого.",day_49/main.go,Medium,0.3ч,"Zero hints, без тестов, 🟢 L4"
2026-05-25,Собеседование,Telegram-видео: LC 1768 Merge Strings Alternately,"Записано видео-разбор задачи для Telegram-канала. Структура: ввод → алгоритм → код → сложность → edge cases.",Telegram-канал,Easy,0.5ч,"Видео-разбор для тренировки устного объяснения"
2026-05-25,Алгоритмы,LeetCode 42: Trapping Rain Water (warm-up),"Разминка: решена через two pointers с maxL/maxR. O(n) time, O(1) space. Двигаем указатель с меньшей высотой, вода = max - height.",day_49/main.go,Hard,0.3ч,"Zero hints, без тестов, 🟢 L4"
2026-05-25,Алгоритмы,LeetCode 917: Reverse Only Letters (warm-up),"Разминка: решена через two pointers с пропуском не-букв на []byte. O(n) time, O(n) space (копия). ASCII-only подход корректен.",day_49/main.go,Easy,0.1ч,"Zero hints, без тестов, 🟢 L4"
2026-05-25,Алгоритмы,LeetCode 5: Longest Palindromic Substring (warm-up),"Разминка: решена через expand around center (odd/even). O(n²) time, O(1) space. Closure expand обновляет границы на каждом шаге.",day_49/main.go,Medium,0.1ч,"Zero hints, без тестов, 🟢 L4"
2026-05-25,Алгоритмы,LeetCode 844: Backspace String Compare (warm-up),"Разминка: решена через reverse traversal + backspace counter. O(n+m) time, O(1) space. nextValid обрабатывает цепочки # корректно.",day_49/main.go,Easy,0.2ч,"Zero hints, без тестов, 🟢 L4"
2026-05-25,Алгоритмы,LeetCode 228: Summary Ranges (warm-up),"Разминка: решена через fast & slow для диапазонов. O(n) time, O(n) space (результат). end отслеживает группу, внешний цикл делает end++.",day_49/main.go,Easy,0.2ч,"Zero hints, без тестов, 🟢 L4"
2026-05-25,Алгоритмы,LeetCode 443: String Compression (warm-up),"Разминка: решена через fast & slow in-place с writeCount helper. O(n) time, O(1) space. Multi-digit counts через %10 + reverse.",day_49/main.go,Medium,0.2ч,"Zero hints, без тестов, 🟢 L4"
2026-05-25,Алгоритмы,LeetCode 161: One Edit Distance,"Новая задача (Yandex): решена через two pointers с учётом трёх случаев (replace, insert, delete). O(n) time, O(1) space. TDD: 18 тестов. Helper compare убрал дублирование.",day_49/main.go + main_test.go,Medium,1.5ч,"🟢 L4"
2026-05-25,Карточки,Anki: LC 18 4Sum + LC 189 Rotate Array,"Созданы 3 карточки (Type A/B/C) для каждой задачи. Pattern, Mechanics, Edge Cases. Без кода, max 4 предложения.",.serena/skills/algorithm-anki/tracking.md,—,0.5ч,"Type B для 189 переформулирован — k % n вспоминается самостоятельно"
2026-05-25,SQL,sqlacademy.org: ORDER BY,"Пройдены 8 задач на сортировку: 4 easy (базовый ORDER BY) + 4 medium (JOIN + GROUP BY + ORDER BY). Все зачтены.",day_49/main.go (SQL задачи не пишутся в файл),—,1.0ч,"Задача 5: разобрали GROUP BY + functional dependency в PostgreSQL"
2026-05-25,Go,The Nature of Go - Go assembler,"Начата реализация функции Sum([]int32) int64 на Go assembler. Изучены: TEXT directive, MOVQ, MOVLQSX, XORQ, ADDQ, SUBQ, CMPQ, JE, JMP, labels. Цикл с sign-extend загрузкой элементов.",day_49/main.go (файл не сохранён),Hard,0.5ч,"Заголовок функции: нужно исправить %0 → $0-32"
2026-05-26 09:38:34,Алгоритмы,LC 189 Rotate Array (warm-up),Разминка: решение через triple reverse in-place,day_50/main.go,Easy,5мин,🟢 L4
2026-05-27,Алгоритмы,LeetCode 11: Container With Most Water (разминка),"Разминочное решение через Two Pointers. Движение указателя с меньшей высоты внутрь и подсчёт площади. O(n) time. O(1) space. Решено самостоятельно без подсказок.",day_51/main.go,1,6мин,Warm-up. Чистый код. Корректная эвристика выбора указателя.
2026-05-29,Алгоритмы,Anki-карточки: LC 11 Container With Most Water (Type A/B/C),"Составлены 3 карточки по методологии algorithm-anki/SKILL.md. Type A — Pattern Recognition (Two Pointers с краёв). Type B — Algorithm Mechanics (формула площади и правило движения указателей). Type C — Edge Case & Complexity (два элемента vs 100 одинаковых, O(n)).",Anki,1,5мин,"Методология: 3 карточки на задачу. Без кода, max 4 предложения. Теги: two_pointers, leetcode, pattern, mechanics, edge_case."
2026-05-29,Алгоритмы,LeetCode 443: String Compression (повторение),"Разминочное решение через Two Pointers (fast & slow, in-place overwrite). Счётчик групп, запись символа и количества цифрами. O(n) time, O(1) space.",day_52/main.go,2,8мин,Повторение для закрепления. Решено самостоятельно без подсказок.
2026-05-30,Алгоритмы,Warm-up: LeetCode 844 Backspace String Compare,Разминочное решение через Two Pointers с конца. Пропуск backspace через счётчик. O(n+m) time O(1) space. Решено самостоятельно.,day_53/main.go,1,8мин,Warm-up без тестов. L4.
2026-05-30,Алгоритмы,Warm-up: LeetCode 228 Summary Ranges,Разминочное решение через Two Pointers (range tracking). O(n) time O(1) space. Решено самостоятельно.,day_53/main.go,1,10мин,Warm-up без тестов. L4.
2026-05-30,Собеседование,Telegram post — Anki cards LC 283 Move Zeroes,Составлен пост для Telegram-канала на основе готовых Anki-карточек (Pattern / Mechanics / Edge).,Telegram-канал,1,26мин,Пост о методологии интервального повторения для алгоритмов.
2026-05-30,Собеседование,Telegram video — LeetCode 26 Remove Duplicates,Записано видео с объяснением алгоритма Two Pointers (fast & slow) для удаления дубликатов. O(n) time O(1) space.,Telegram-канал,1,36мин,Тренировка объяснения кода как на собеседовании.
2026-05-30,Карточки,Anki cards LC 881 Boats to Save People,Составлены 3 карточки по методологии algorithm-anki/SKILL.md. Type A — Pattern Recognition Type B — Algorithm Mechanics Type C — Edge Case.,Anki,2,20мин,Методология: 3 карточки на задачу. Без кода max 4 предложения. Теги: two_pointers greedy medium.
2026-05-30,Алгоритмы,Warm-up: LeetCode 11 Container With Most Water,Разминочное решение через Two Pointers с краёв. Движение указателя с меньшей высоты. O(n) time O(1) space. Решено самостоятельно.,day_53/main.go,2,10мин,Warm-up без тестов.
2026-05-30,Алгоритмы,Warm-up: LeetCode 443 String Compression,Разминочное решение через Two Pointers (fast & slow) с in-place записью. writeCount для многоцифровых чисел через %10 + reverse. O(n) time O(1) space. Решено самостоятельно.,day_53/main.go,2,15мин,Warm-up без тестов.
2026-05-30,Go,The Nature of Go — Структуры методы интерфейсы дженерики мапы и итераторы,Просмотрена лекция курса. Закрепление понимания структур методов интерфейсов дженериков мап и итераторов в Go.,igoroutine.courses,2,135мин,Лекция курса Nature of Go.
2026-05-30,Go,The Nature of Go — ассемблер и SIMD в НОВЫХ map и GC,Прослушана лекция курса. Ассемблер SIMD Swiss Tables и GC в Go.,igoroutine.courses,3,40мин,Лекция курса Nature of Go. Погружение в низкоуровневые оптимизации.
2026-05-30,Алгоритмы,LeetCode 844: Backspace String Compare (разминка),Разминка. Two Pointers с конца через счётчик backspace. Сравнение валидных символов из обеих строк. O(n+m) time, O(1) space.,day_54/main.go,1,0.3ч,Warm-up. L4 — решено самостоятельно без подсказок.
2026-05-30,Собеседование,Skill: Подготовка к алгоритмическому собеседованию в Яндекс,"Создан skill yandex-interview/ с методологией имитации реального собеса. SKILL.md + task-template.md (без примеров) + чек-лист оценки по критериям Яндекса. Обновлены INDEX.md и algorithms-mentor/SKILL.md.",.serena/skills/yandex-interview/SKILL.md,,-,"Шкала оценки: Готово / Полировка / Доработка. Pipeline: тесты → алгоритм → код → прогон."
2026-05-30,Алгоритмы,LeetCode 228: Summary Ranges (разминка),"Разминка. Two Pointers для группировки последовательных чисел в диапазоны. O(n) time, O(1) space.",day_54/main.go,1,0.3ч,Warm-up. L4 — решено самостоятельно без подсказок.
2026-05-30,Алгоритмы,LeetCode 161: One Edit Distance (разминка),"Разминка. Two Pointers для сравнения строк с одним допустимым отличием. Найден баг: guard-clause m-n > 1 вместо n-m > 1 после swap. Исправлено.",day_54/main.go; day_54/main_test.go,2,0.5ч,Warm-up. Найден мёртвый код в guard-clause. Добавлены тесты на разницу длин > 1."
2026-05-30,Алгоритмы,LeetCode 986: Interval List Intersections (разминка),"Разминка. Two Pointers для пересечения двух отсортированных списков интервалов. O(n+m) time, O(1) space.",day_54/main.go,2,0.3ч,Warm-up. L4 — решено самостоятельно без подсказок.
2026-05-30,Собеседование,Telegram post - LC 392 Is Subsequence,"Написание и оформление поста для Telegram-канала. Видео уже было готово.",Telegram-канал,1,0.5ч,Пост опубликован.
2026-05-30,Карточки,Anki - LC 42 Trapping Rain Water,"Составлены 3 карточки (Type A/B/C) по методологии algorithm-anki. Two Pointers с prefix max. O(n) time, O(1) space.",algorithm-anki/tracking.md,3,0.3ч,Задача L1 — карточки для закрепления паттерна. Добавлены в Anki с тегами.
2026-05-30,Алгоритмы,LeetCode 557: Reverse Words in a String III,"Решена задача разворота каждого слова в строке. Two Pointers внутри слова через []byte. O(n) time, O(n) space.",day_54/main.go; day_54/main_test.go,1,0.5ч,L4 — решено самостоятельно. Добавлены тесты на edge cases (empty, single word, trailing/leading/multiple spaces).
2026-05-30,Алгоритмы,LeetCode 415: Add Strings,"Решена задача сложения двух чисел-строк. Two Pointers с конца + carry + reverse результата. O(max(n,m)) time, O(max(n,m)) space.",day_54/main.go; day_54/main_test.go,1,0.5ч,L4 — решено самостоятельно. Добавлены тесты на carry, zero, разную длину.
2026-05-30,Алгоритмы,LeetCode 647: Palindromic Substrings,"Решена задача подсчёта палиндромных подстрок. Expand around center с 2*n-1 центрами. O(n^2) time, O(1) space.",day_54/main.go; day_54/main_test.go,2,0.5ч,L4 — решено самостоятельно. Добавлены тесты на empty, single char, all-same, even/odd palindromes.
2026-06-01,Алгоритмы,LeetCode 844: Backspace String Compare (разминка),Решена через Two Pointers с конца. O(n+m) time O(1) space. Решено самостоятельно.,day_55/main.go,1,0.2ч,Warm-up L4
2026-06-01,Алгоритмы,LeetCode 189: Rotate Array (видео),Записано видео с разбором алгоритма Triple Reverse. O(n) time O(1) space.,day_55/main.go,2,0.5ч,Telegram Video
2026-06-01,Алгоритмы,LeetCode 228: Summary Ranges (разминка),Решена через группировку последовательных чисел. O(n) time O(n) space.,day_55/main.go,1,0.2ч,Warm-up L4
2026-06-01,Алгоритмы,LeetCode 443: String Compression (разминка),Решена in-place через Two Pointers и strconv.Itoa. O(n) time O(1) space.,day_55/main.go,2,0.3ч,Warm-up L4
2026-06-01,Алгоритмы,LeetCode 161: One Edit Distance (разминка),Решена через Two Pointers с учётом 3 случаев (replace/insert/delete). O(n) time O(1) space.,day_55/main.go,2,0.2ч,Warm-up L4
2026-06-01,Алгоритмы,LeetCode 986: Interval List Intersections (разминка),Решена через Two Pointers (max start / min end). O(n+m) time O(1) space.,day_55/main.go,2,0.2ч,Warm-up L4
2026-06-01,Алгоритмы,LeetCode 557: Reverse Words in a String III (разминка),Решена через Two Pointers внутри слова на []byte. O(n) time O(n) space.,day_55/main.go,1,0.2ч,Warm-up L4
2026-06-01,Алгоритмы,LeetCode 415: Add Strings (разминка),Решена через Two Pointers с конца + carry + reverse. O(max(n,m)) time/space.,day_55/main.go,1,0.2ч,Warm-up L4
2026-06-01,Алгоритмы,LeetCode 647: Palindromic Substrings (разминка),Решена через Expand Around Center (2n-1 центров). O(n^2) time O(1) space.,day_55/main.go,2,0.25ч,Warm-up L4
2026-06-01,Карточки,Telegram Post ANKI LC 1768,Опубликован пост с методологией Anki-карточек для алгоритмов.,Telegram-канал,1,0.3ч,Telegram Post
2026-06-01,Алгоритмы,LeetCode 643: Maximum Average Subarray I (разминка),Решена через Fixed-size Sliding Window. O(n) time O(1) space.,day_55/main.go,1,0.1ч,Warm-up L4
2026-06-01,Алгоритмы,LeetCode 42: Trapping Rain Water (разминка),Решена через Two Pointers с maxL/maxR. O(n) time O(1) space. Решено самостоятельно.,day_55/main.go,3,0.2ч,Warm-up L4
2026-06-01,Go,Nature of Go Test - Structs/Methods/Interfaces/Generics/Maps/Iterators,Прохождение теста по темам фундаментального Go.,Nature of Go,2,0.5ч,Тест завершён
2026-06-01,Карточки,Anki Algorithm Cards (LC 917 & LC 42 upgrade),Созданы 3 карточки для LC 917 и доработан набор для LC 42.,Anki,2,0.7ч,Anki Creation
2026-06-01,Алгоритмы,LeetCode 1343: Number of Sub-arrays of Size K and Average >= Threshold (разминка),Решена через Fixed-size Sliding Window. O(n) time O(1) space.,day_55/main.go,2,0.1ч,Warm-up L4
2026-06-01,Алгоритмы,LeetCode 1876: Substrings of Size Three with Distinct Characters (разминка),Решена через Fixed-size Sliding Window. Уникальность проверена через прямое сравнение. O(n) time O(1) space.,day_55/main.go,1,0.1ч,Warm-up L4
2026-06-01,Алгоритмы,LeetCode 2090: K Radius Subarray Averages (разминка),Решена через Fixed-size Sliding Window (размер 2k+1). Предзаполнение -1. O(n) time O(n) space.,day_55/main.go,2,0.1ч,Warm-up L4
2026-06-01,Алгоритмы,LeetCode 2461: Maximum Sum of Distinct Subarrays With Length K (разминка),Решена через Sliding Window + Frequency Map. O(n) time O(k) space.,day_55/main.go,2,0.1ч,Warm-up L4
2026-06-01,Алгоритмы,LeetCode 1456: Maximum Number of Vowels in a Substring of Given Length (разминка),Решена через Fixed-size Sliding Window. O(n) time O(1) space.,day_55/main.go,2,0.1ч,Warm-up L4
2026-06-01,Алгоритмы,LeetCode 2379: Minimum Recolors to Get K Consecutive Black Blocks (разминка),Решена через Fixed-size Sliding Window. Счётчик 'W' в окне. O(n) time O(1) space.,day_55/main.go,1,0.1ч,Warm-up L4
2026-06-01,Алгоритмы,LeetCode 2653: Sliding Subarray Beauty (разминка),Решена через Fixed-size Sliding Window + Bucket Counting. O(n) time O(1) space.,day_55/main.go,2,0.1ч,Warm-up L4
2026-06-01,Алгоритмы,LeetCode 1423: Maximum Points You Can Obtain from Cards (разминка),Решена через инверсию: Sliding Window на 'невыбранных' картах. O(k) time O(1) space.,day_55/main.go,2,0.2ч,Warm-up L4
2026-06-01,Алгоритмы,LeetCode 209: Minimum Size Subarray Sum (разминка),Решена через Dynamic Sliding Window. O(n) time O(1) space.,day_55/main.go,2,0.1ч,Warm-up L4
2026-06-01,Алгоритмы,LeetCode 1004: Max Consecutive Ones III (разминка),Решена через Dynamic Sliding Window (счётчик нулей). O(n) time O(1) space.,day_55/main.go,2,0.1ч,Warm-up L4
2026-06-02,Алгоритмы,LeetCode 42: Trapping Rain Water (разминка),Решена через Two Pointers с maxL/maxR. O(n) time O(1) space.,day_56/main.go,3,0.1ч,Warm-up L4. Самостоятельное решение.
2026-06-02,Алгоритмы,LeetCode 5: Longest Palindromic Substring (разминка),Решена через Expand Around Center (2n-1 центров). O(n^2) time O(1) space.,day_56/main.go,3,0.2ч,Upgrade 🔴 L1 -> 🟢 L4. Решена самостоятельно.
2026-06-02,Собеседование,Telegram Video: LeetCode 11: Container With Most Water,Записано видео с разбором алгоритма Two Pointers. O(n) time O(1) space.,Telegram-канал,2,1.2ч,Разбор для канала. Тренировка объяснения.
2026-06-02,Собеседование,Telegram Post: LeetCode 26: Remove Duplicates from Sorted Array,Написание и публикация поста в Telegram-канал.,Telegram-канал,1,0.2ч,Разбор опубликован.
2026-06-02,LinkedIn,Nand to Tetris - AND Gate Implementation,Написание и публикация поста в LinkedIn про реализацию AND на HDL.,LinkedIn,2,2.4ч,Пост опубликован.
2026-06-02,Go,The Nature of Go - Test 9: Advanced Error Handling,Прохождение теста по теме продвинутой работы с ошибками. Всё пройдено.,Nature of Go,3,0.27ч,Тест завершён успешно.
2026-06-02,Go,The Nature of Go - Lecture 10: GC and Runtime Internals,Прослушивание лекции про GC и рантайм (частично). Продолжу завтра.,Nature of Go,2,3.5ч,Лекция прослушана не полностью.
2026-06-03,Алгоритмы,LeetCode 228: Summary Ranges (разминка),Решена через Two Pointers (range tracking). O(n) time O(1) space.,day_57/main.go,1,0.4ч,Warm-up L4
2026-06-03,Алгоритмы,LeetCode 443: String Compression (разминка),Решена in-place через Two Pointers и strconv.Itoa. O(n) time O(1) space.,day_57/main.go,2,0.2ч,Warm-up L4
2026-06-03,Алгоритмы,LeetCode 161: One Edit Distance (разминка),Решена через Two Pointers (3 случая). O(n) time O(1) space.,day_57/main.go,2,0.3ч,Warm-up L4
2026-06-03,Алгоритмы,LeetCode 986: Interval List Intersections (разминка),Решена через Two Pointers (max start / min end). O(n+m) time O(1) space.,day_57/main.go,2,0.2ч,Warm-up L4
2026-06-03,Алгоритмы,LeetCode 557: Reverse Words in a String III (разминка),Решена через Two Pointers внутри слова на []byte. O(n) time O(n) space.,day_57/main.go,1,0.3ч,Warm-up L4
2026-06-03,Алгоритмы,LeetCode 415: Add Strings (разминка),Решена через Two Pointers с конца + carry + reverse. O(max(n,m)) time/space.,day_57/main.go,1,0.2ч,Warm-up L4
2026-06-03,Алгоритмы,LeetCode 647: Palindromic Substrings (разминка),Решена через Expand Around Center (2n-1 центров). O(n^2) time O(1) space.,day_57/main.go,2,0.3ч,Warm-up L4
